City,Original Equipment Manufacturer,Car,Year,Price,Kms Driven,Owner,Fuel Type,Transmission,Mileage,Max Power,Engine
Bangalore,Mercedes-Benz,Mercedes-Benz GL-Class,2014,35.0,100000.0,2,Diesel,Automatic,11.3,254.8,2987.0
Bangalore,Tata,Tata New Safari,2021,22.5,25000.0,1,Diesel,Automatic,14.08,167.67,1956.0
Bangalore,Hyundai,Hyundai Grand i10,2018,6.25,36735.0,1,Petrol,Manual,18.9,81.86,1197.0
Bangalore,Audi,Audi Q7,2015,26.95,79000.0,1,Diesel,Automatic,12.07,241.4,2967.0
Bangalore,Mahindra,Mahindra Scorpio,2010,6.5,120000.0,2,Diesel,Manual,12.05,120.0,2179.0
Bangalore,Renault,Renault KWID,2022,5.5,10000.0,1,Petrol,Automatic,22.0,67.0,999.0
Bangalore,Tata,Tata Nexon,2018,8.25,53645.0,1,Diesel,Manual,21.5,108.5,1497.0
Bangalore,Hyundai,Hyundai Getz,2006,2.2,100000.0,2,Petrol,Manual,15.3,83.0,1341.0
Bangalore,Maruti,Maruti Celerio,2014,4.28,53982.0,1,Petrol,Automatic,26.68,65.71,998.0
Bangalore,Skoda,Skoda Rapid,2014,6.95,110000.0,1,Diesel,Manual,21.14,103.52,1498.0
Bangalore,Ford,Ford Ecosport,2019,9.3,37741.0,2,Petrol,Manual,15.9,120.69,1496.0
Bangalore,Maruti,Maruti Alto 800,2021,4.55,17367.0,1,Petrol,Manual,22.05,47.33,796.0
Bangalore,Hyundai,Hyundai Creta,2017,11.95,94000.0,1,Diesel,Manual,19.67,126.2,1582.0
Bangalore,Tata,Tata Harrier,2021,21.75,33700.0,1,Diesel,Automatic,14.6,167.67,1956.0
Bangalore,Maruti,Maruti Swift,2014,4.42,54601.0,3,Petrol,Manual,22.38,88.5,1197.0
Bangalore,Maruti,Maruti Swift,2018,6.9,110000.0,1,Diesel,Manual,28.4,74.0,1248.0
Bangalore,Maruti,Maruti Celerio,2017,5.0,64000.0,2,Petrol,Manual,23.1,67.04,998.0
Bangalore,BMW,BMW 3 Series GT,2016,33.95,40525.0,1,Diesel,Automatic,21.76,188.0,1995.0
Bangalore,Maruti,Maruti Ciaz,2015,6.5,100000.0,1,Diesel,Manual,26.21,88.5,1248.0
Bangalore,Honda,Honda Jazz,2016,5.37,44154.0,2,Petrol,Automatic,19.0,88.7,1199.0
Bangalore,Renault,Renault Lodgy,2016,7.5,70000.0,1,Diesel,Manual,19.98,108.5,1461.0
Bangalore,Skoda,Skoda Octavia,2018,17.9,79000.0,1,Petrol,Automatic,15.1,178.0,1798.0
Bangalore,Tata,Tata Tiago,2017,4.68,68039.0,2,Petrol,Manual,23.84,84.0,1199.0
Bangalore,Maruti,Maruti Ritz,2014,4.2,60000.0,2,Petrol,Manual,18.5,85.8,1197.0
Bangalore,Maruti,Maruti Ritz,2014,4.2,60000.0,2,Petrol,Manual,18.5,85.8,1197.0
Bangalore,Hyundai,Hyundai i20,2021,9.2,10000.0,1,Petrol,Manual,20.0,118.36,998.0
Bangalore,Honda,Honda City,2013,5.33,49873.0,1,Petrol,Manual,16.8,116.3,1497.0
Bangalore,Volkswagen,Volkswagen Polo,2013,8.5,90000.0,3,Petrol,Automatic,17.2,103.6,1197.0
Bangalore,Skoda,Skoda Rapid,2017,7.51,48960.0,2,Diesel,Manual,21.13,108.6,1498.0
Bangalore,Hyundai,Hyundai Grand i10,2014,3.88,70000.0,2,Diesel,Manual,24.0,70.0,1120.0
